budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
15000000,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Adventure,26161406,Ramona and Beezus,G,23/7/2010,100,6.7,Joey King,14808,Laurie Craig,2010
15000000,Color Force,USA,Thor Freudenthal,Comedy,64003625,Diary of a Wimpy Kid,PG,19/3/2010,100,6.2,Zachary Gordon,35256,Jackie Filgo,2010
52000000,New Line Cinema,USA,Garry Marshall,Comedy,110485654,Valentine's Day,PG-13,12/2/2010,125,5.7,Julia Roberts,100570,Katherine Fugate,2010
80000000,Warner Bros.,UK,Martin Campbell,Crime,43313890,Edge of Darkness,R,29/1/2010,117,6.6,Mel Gibson,79774,William Monahan,2010
44000000,Universal Pictures,USA,Burr Steers,Drama,31162545,Charlie St. Cloud,PG-13,30/7/2010,100,6.5,Zac Efron,50872,Craig Pearce,2010
20000000,Overture Films,UK,Matt Reeves,Drama,12134420,Let Me In,R,1/10/2010,116,7.2,Kodi Smit-McPhee,99166,Matt Reeves,2010
130000000,DreamWorks Animation,USA,Tom McGrath,Animation,148415853,Megamind,PG,5/11/2010,95,7.3,Will Ferrell,188234,Alan Schoolcraft,2010
165000000,DreamWorks Animation,USA,Mike Mitchell,Animation,238371987,Shrek Forever After,PG,21/5/2010,93,6.3,Mike Myers,150636,William Steig,2010
14000000,Castle Rock Entertainment,USA,Rob Reiner,Comedy,1752214,Flipped,PG,10/9/2010,100,7.7,Madeline Carroll,67346,Rob Reiner,2010
100000000,GK Films,USA,Florian Henckel von Donnersmarck,Action,67631157,The Tourist,PG-13,10/12/2010,103,6,Johnny Depp,190376,Florian Henckel von Donnersmarck,2010
20000000,Touchstone Pictures,USA,Andy Fickman,Comedy,25702053,You Again,PG,24/9/2010,100,5.8,Kristen Bell,43588,Moe Jelline,2010
155000000,Fox 2000 Pictures,USA,Michael Apted,Adventure,104386950,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,10/12/2010,113,6.3,Ben Barnes,116260,Christopher Markus,2010
10500000,Overnight Films,USA,Ethan Maniquis,Action,26593646,Machete,R,3/9/2010,105,6.6,Danny Trejo,173229,Robert Rodriguez,2010
0,Vertigo Films,UK,Gareth Edwards,Drama,237301,Monsters,R,4/11/2011,94,6.4,Scoot McNairy,80354,Gareth Edwards,2010
150000000,Walt Disney Pictures,USA,Jon Turteltaub,Action,63150991,The Sorcerer's Apprentice,PG,14/7/2010,109,6.1,Nicolas Cage,133390,Lawrence Konner,2010
70000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Drama,52474616,Wall Street: Money Never Sleeps,PG-13,24/9/2010,133,6.2,Shia LaBeouf,88518,Allan Loeb,2010
25000000,Screen Gems,USA,Lasse Hallstrˆm,Drama,80014842,Dear John,PG-13,5/2/2010,108,6.3,Channing Tatum,115712,Jamie Linden,2010
60000000,Columbia Pictures,USA,Ryan Murphy,Drama,80574010,Eat Pray Love,PG-13,13/8/2010,133,5.7,Julia Roberts,69859,Ryan Murphy,2010
65000000,Warner Bros.,USA,Todd Phillips,Comedy,100539043,Due Date,R,5/11/2010,95,6.6,Robert Downey Jr.,287021,Alan R. Cohen,2010
0,Samuel Goldwyn Films,Canada,Larysa Kondracki,Action,1120914,Secretos Peligrosos,R,26/8/2011,112,7.2,Rachel Weisz,27033,Larysa Kondracki,2010
25000000,Warner Bros.,USA,Sylvain White,Action,23580735,The Losers,PG-13,23/4/2010,97,6.4,Idris Elba,78545,Peter Berg,2010
20000000,Overture Films,USA,Breck Eisner,Horror,39123589,The Crazies,R,26/2/2010,101,6.5,Radha Mitchell,98210,Scott Kosar,2010
8000000,Focus Features,USA,Anna Boden,Comedy,6350058,It's Kind of a Funny Story,PG-13,8/10/2010,101,7.1,Keir Gilchrist,116014,Anna Boden,2010
100000000,Universal Pictures,USA,Paul Weitz,Comedy,148383780,Little Fockers,PG-13,22/12/2010,98,5.5,Ben Stiller,91634,John Hamburg,2010
2500000,This Is That Productions,USA,James Gunn,Comedy,322157,Super,R,10/6/2011,100,6.8,Rainn Wilson,65689,James Gunn,2010
0,Universal Pictures,USA,Nicholas Stoller,Comedy,60974475,Get Him to the Greek,R,4/6/2010,109,6.4,Jonah Hill,153864,Nicholas Stoller,2010
0,Exclusive Films,USA,Peter Weir,Adventure,2701859,The Way Back,PG-13,21/1/2011,133,7.3,Jim Sturgess,94377,Keith R. Clarke,2010
20000000,Touchstone Pictures,USA,Julie Anne Robinson,Drama,62950384,The Last Song,PG,31/3/2010,100,5.9,Miley Cyrus,66108,Nicholas Sparks,2010
0,Porchlight Films,Australia,David MichÙd,Crime,1044039,Animal Kingdom,R,3/6/2010,113,7.3,James Frecheville,48461,David MichÙd,2010
0,Gato Negro Films,USA,Sebastian Gutierrez,Comedy,10822,Elektra Luxx,R,14/3/2010,100,5.1,Joseph Gordon-Levitt,6197,Sebastian Gutierrez,2010
10000000,Universal Pictures,USA,John Erick Dowdle,Horror,33583175,Devil,PG-13,17/9/2010,80,6.3,Chris Messina,112284,Brian Nelson,2010
19000000,Mandate Pictures,USA,Josh Gordon,Comedy,27758465,The Switch,PG-13,20/8/2010,100,6.1,Jennifer Aniston,83839,Allan Loeb,2010
150000000,Universal Pictures,USA,Joe Johnston,Drama,61979680,The Wolfman,R,12/2/2010,103,5.8,Benicio Del Toro,93175,Andrew Kevin Walker,2010
0,Gaumont,USA,Massy Tadjedin,Drama,98986,Last Night,R,16/9/2011,93,6.6,Keira Knightley,41908,Massy Tadjedin,2010
20000000,Screen Gems,USA,John Luessenhop,Action,57744720,Takers,PG-13,27/8/2010,107,6.2,Chris Brown,49828,Peter Allen,2010
47000000,Warner Bros.,USA,Jimmy Hayward,Action,10539414,Jonah Hex,PG-13,18/6/2010,81,4.7,Josh Brolin,48504,Mark Neveldine,2010
35000000,CBS Films,USA,Alan Poul,Comedy,37490007,The Back-up Plan,PG-13,23/4/2010,104,5.3,Jennifer Lopez,43272,Kate Angelo,2010
40000000,Columbia Pictures,USA,Andy Tennant,Action,67061228,The Bounty Hunter,PG-13,19/3/2010,110,5.5,Jennifer Aniston,103868,Sarah Thorp,2010
10000000,River Road Entertainment,USA,Floria Sigismondi,Biography,3571735,The Runaways,R,19/3/2010,106,6.6,Kristen Stewart,41586,Floria Sigismondi,2010
0,The Weinstein Company,UK,Richard Ayoade,Comedy,466702,Submarine,R,18/3/2011,97,7.3,Craig Roberts,72965,Richard Ayoade,2010
10000000,Rogue Pictures,USA,Colin Strause,Action,21371425,Skyline,PG-13,12/11/2010,97,4.4,Eric Balfour,78787,Joshua Cordes,2010
120000000,Columbia Pictures,USA,James L. Brooks,Comedy,30212620,How Do You Know,PG-13,17/12/2010,100,5.4,Reese Witherspoon,37605,James L. Brooks,2010
0,A Bigger Boat,USA,Adam Green,Thriller,243390,Frozen,R,4/6/2010,93,6.2,Shawn Ashmore,57244,Adam Green,2010
7000000,Focus Features,USA,Sofia Coppola,Comedy,1768416,Somewhere,R,21/1/2011,97,6.3,Stephen Dorff,38036,Sofia Coppola,2010
20000000,Miramax,USA,John Madden,Drama,31177548,The Debt,R,31/8/2011,113,6.9,Helen Mirren,57945,Matthew Vaughn,2010
3200000,Olympus Pictures,USA,Mike Mills,Comedy,5790894,Beginners,R,26/8/2011,105,7.2,Ewan McGregor,78833,Mike Mills,2010
75000000,Lionsgate,USA,Robert Luketic,Action,47059963,Killers,PG-13,4/6/2010,100,5.4,Katherine Heigl,77029,Bob DeRosa,2010
30000000,Summit Entertainment,USA,Gary Winick,Adventure,53032453,Letters to Juliet,PG,14/5/2010,100,6.6,Amanda Seyfried,79868,Jose Rivera,2010
5000000,Olympus Pictures,USA,John Cameron Mitchell,Drama,2229058,Rabbit Hole,PG-13,28/1/2011,91,7,Nicole Kidman,42926,David Lindsay-Abaire,2010
9500000,Millennium Films,USA,David Schwimmer,Crime,120016,Trust,R,9/3/2012,106,6.9,Clive Owen,36805,Andy Bellin,2010
0,Paramount Pictures,USA,Jay Roach,Comedy,73026337,Dinner for Schmucks,PG-13,30/7/2010,114,5.9,Steve Carell,84651,David Guion,2010
